"Owner","Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"selenium","selenium","standalone-opera",2024,5,"2024-05-01",39,169,2,201
"selenium","selenium","node-chromium",2024,5,"2024-05-01",86,87,14,170
"selenium","selenium","node-chrome",2024,5,"2024-05-01",149208,1482316,466774,4323696
"selenium","selenium","node-firefox",2024,5,"2024-05-01",49176,553652,91966,555293
"selenium","selenium","node-opera",2024,5,"2024-05-01",243,499,808,22269
"selenium","selenium","sessions",2024,5,"2024-05-01",1641,7512,1978,3367
"selenium","selenium","standalone-chrome",2024,5,"2024-05-01",1381493,4596882,2737721,3612930
"selenium","selenium","node-base",2024,5,"2024-05-01",1189,6985,425,492
"selenium","selenium","hub",2024,5,"2024-05-01",123464,566345,133673,646506
"selenium","selenium","distributor",2024,5,"2024-05-01",1656,7546,1969,3415
"selenium","selenium","standalone-chrome-debug",2024,5,"2024-05-01",316894,658895,10767,715406
"selenium","selenium","standalone-firefox-debug",2024,5,"2024-05-01",21323,28614,1990,10155
"selenium","selenium","router",2024,5,"2024-05-01",1602,7536,3339,8584
"selenium","selenium","standalone-chromium",2024,5,"2024-05-01",248,327,22,572
"selenium","selenium","node-chrome-debug",2024,5,"2024-05-01",16143,67783,8514,28308
"selenium","selenium","standalone-firefox",2024,5,"2024-05-01",48563,371129,50307,386278
"selenium","selenium","node-firefox-debug",2024,5,"2024-05-01",2800,49815,5884,4131
"selenium","selenium","node-docker",2024,5,"2024-05-01",2195,3272,1058,3501
"selenium","selenium","standalone-edge",2024,5,"2024-05-01",4081,10968,4671,76753
"selenium","selenium","standalone-docker",2024,5,"2024-05-01",271,4023,460,958
"selenium","selenium","node-opera-debug",2024,5,"2024-05-01",24,154,4,14
"selenium","selenium","standalone-opera-debug",2024,5,"2024-05-01",1,1,0,0
"selenium","selenium","uploader",2024,5,"2024-05-01",3,26,2,11
"selenium","selenium","base",2024,5,"2024-05-01",187,4962,347,402
"selenium","selenium","video",2024,5,"2024-05-01",14678,48658,19965,164813
"selenium","selenium","node-edge",2024,5,"2024-05-01",9810,45367,34144,48833
"selenium","selenium","session-queue",2024,5,"2024-05-01",1645,7330,1958,3391
"selenium","selenium","event-bus",2024,5,"2024-05-01",1658,7489,1948,5601
"selenium","selenium","node-phantomjs",2024,5,"2024-05-01",7,4,0,32
